eta, f, f_linha, f_duas_linhas
6.6200, 4.899291, 0.999780, 0.000579
6.6300, 4.909289, 0.999785, 0.000565
6.6400, 4.919287, 0.999791, 0.000551
6.6500, 4.929285, 0.999797, 0.000538
6.6600, 4.939283, 0.999802, 0.000525
6.6700, 4.949281, 0.999807, 0.000512
6.6800, 4.959279, 0.999812, 0.000499
6.6900, 4.969277, 0.999817, 0.000487
6.7000, 4.979276, 0.999822, 0.000475
6.7100, 4.989274, 0.999827, 0.000464
6.7200, 4.999272, 0.999831, 0.000452
6.7300, 5.009270, 0.999836, 0.000441
6.7400, 5.019269, 0.999840, 0.000430
6.7500, 5.029267, 0.999844, 0.000419
6.7600, 5.039266, 0.999848, 0.000409
6.7700, 5.049264, 0.999852, 0.000399
6.7800, 5.059263, 0.999856, 0.000389
6.7900, 5.069261, 0.999860, 0.000379
6.8000, 5.079260, 0.999864, 0.000370
6.8100, 5.089259, 0.999868, 0.000360
6.8200, 5.099257, 0.999871, 0.000351
6.8300, 5.109256, 0.999875, 0.000342
6.8400, 5.119255, 0.999878, 0.000334
6.8500, 5.129254, 0.999881, 0.000325
6.8600, 5.139252, 0.999884, 0.000317
6.8700, 5.149251, 0.999888, 0.000309
6.8800, 5.159250, 0.999891, 0.000301
6.8900, 5.169249, 0.999894, 0.000293
6.9000, 5.179248, 0.999896, 0.000286
6.9100, 5.189247, 0.999899, 0.000279
6.9200, 5.199246, 0.999902, 0.000272
6.9300, 5.209245, 0.999905, 0.000265
6.9400, 5.219244, 0.999907, 0.000258
6.9500, 5.229243, 0.999910, 0.000251
6.9600, 5.239242, 0.999912, 0.000245
6.9700, 5.249241, 0.999915, 0.000238
6.9800, 5.259241, 0.999917, 0.000232
6.9900, 5.269240, 0.999919, 0.000226
7.0000, 5.279239, 0.999922, 0.000220
7.0100, 5.289238, 0.999924, 0.000214
7.0200, 5.299237, 0.999926, 0.000209
7.0300, 5.309237, 0.999928, 0.000203
7.0400, 5.319236, 0.999930, 0.000198
7.0500, 5.329235, 0.999932, 0.000193
7.0600, 5.339235, 0.999934, 0.000188
7.0700, 5.349234, 0.999936, 0.000183
7.0800, 5.359233, 0.999938, 0.000178
7.0900, 5.369233, 0.999939, 0.000173
