x y f
2.6818 -0.9293 -8.5401
2.7273 -0.9293 -8.7795
2.7727 -0.9293 -9.0231
2.8182 -0.9293 -9.2708
2.8636 -0.9293 -9.5226
2.9091 -0.9293 -9.7786
2.9545 -0.9293 -10.0387
3.0000 -0.9293 -10.3029
3.0455 -0.9293 -10.5713
3.0909 -0.9293 -10.8438
3.1364 -0.9293 -11.1204
3.1818 -0.9293 -11.4012
3.2273 -0.9293 -11.6861
3.2727 -0.9293 -11.9751
3.3182 -0.9293 -12.2683
3.3636 -0.9293 -12.5656
3.4091 -0.9293 -12.8670
3.4545 -0.9293 -13.1725
3.5000 -0.9293 -13.4822
-1.0000 -0.8939 -2.8104
-0.9545 -0.8939 -2.7119
-0.9091 -0.8939 -2.6175
-0.8636 -0.8939 -2.5273
-0.8182 -0.8939 -2.4412
-0.7727 -0.8939 -2.3593
-0.7273 -0.8939 -2.2815
-0.6818 -0.8939 -2.2078
-0.6364 -0.8939 -2.1382
-0.5909 -0.8939 -2.0728
-0.5455 -0.8939 -2.0115
-0.5000 -0.8939 -1.9543
-0.4545 -0.8939 -1.9013
-0.4091 -0.8939 -1.8524
-0.3636 -0.8939 -1.8076
-0.3182 -0.8939 -1.7670
-0.2727 -0.8939 -1.7305
-0.2273 -0.8939 -1.6981
-0.1818 -0.8939 -1.6699
-0.1364 -0.8939 -1.6458
-0.0909 -0.8939 -1.6258
-0.0455 -0.8939 -1.6100
0.0000 -0.8939 -1.5983
0.0455 -0.8939 -1.5907
0.0909 -0.8939 -1.5872
0.1364 -0.8939 -1.5879
0.1818 -0.8939 -1.5927
0.2273 -0.8939 -1.6017
0.2727 -0.8939 -1.6148
0.3182 -0.8939 -1.6320
0.3636 -0.8939 -1.6534
0.4091 -0.8939 -1.6788
0.4545 -0.8939 -1.7084
0.5000 -0.8939 -1.7422
0.5455 -0.8939 -1.7801
0.5909 -0.8939 -1.8221
0.6364 -0.8939 -1.8682
0.6818 -0.8939 -1.9185
0.7273 -0.8939 -1.9729
0.7727 -0.8939 -2.0315
0.8182 -0.8939 -2.0941
0.8636 -0.8939 -2.1609
0.9091 -0.8939 -2.2319
0.9545 -0.8939 -2.3069
1.0000 -0.8939 -2.3861
1.0455 -0.8939 -2.4695
1.0909 -0.8939 -2.5569
1.1364 -0.8939 -2.6485
1.1818 -0.8939 -2.7443
1.2273 -0.8939 -2.8441
1.2727 -0.8939 -2.9481
1.3182 -0.8939 -3.0562
1.3636 -0.8939 -3.1685
1.4091 -0.8939 -3.2849
1.4545 -0.8939 -3.4054
1.5000 -0.8939 -3.5301
1.5455 -0.8939 -3.6589
1.5909 -0.8939 -3.7918
1.6364 -0.8939 -3.9288
1.6818 -0.8939 -4.0700
1.7273 -0.8939 -4.2153
1.7727 -0.8939 -4.3648
1.8182 -0.8939 -4.5184
1.8636 -0.8939 -4.6761
1.9091 -0.8939 -4.8379
1.9545 -0.8939 -5.0039
2.0000 -0.8939 -5.1740
2.0455 -0.8939 -5.3483
2.0909 -0.8939 -5.5266
2.1364 -0.8939 -5.7091
2.1818 -0.8939 -5.8958
2.2273 -0.8939 -6.0865
2.2727 -0.8939 -6.2815
2.3182 -0.8939 -6.4805
2.3636 -0.8939 -6.6837
2.4091 -0.8939 -6.8910
2.4545 -0.8939 -7.1024
2.5000 -0.8939 -7.3180
2.5455 -0.8939 -7.5376
2.5909 -0.8939 -7.7615
2.6364 -0.8939 -7.9894
2.6818 -0.8939 -8.2215
2.7273 -0.8939 -8.4578
2.7727 -0.8939 -8.6981
2.8182 -0.8939 -8.9426
2.8636 -0.8939 -9.1912
2.9091 -0.8939 -9.4440
2.9545 -0.8939 -9.7009
3.0000 -0.8939 -9.9619
3.0455 -0.8939 -10.2270
3.0909 -0.8939 -10.4963
3.1364 -0.8939 -10.7697
3.1818 -0.8939 -11.0473
3.2273 -0.8939 -11.3290
3.2727 -0.8939 -11.6148
3.3182 -0.8939 -11.9047
3.3636 -0.8939 -12.1988
3.4091 -0.8939 -12.4970
3.4545 -0.8939 -12.7994
3.5000 -0.8939 -13.1058
-1.0000 -0.8586 -2.7572
-0.9545 -0.8586 -2.6555
-0.9091 -0.8586 -2.5579
-0.8636 -0.8586 -2.4645
-0.8182 -0.8586 -2.3752
-0.7727 -0.8586 -2.2900
-0.7273 -0.8586 -2.2090
-0.6818 -0.8586 -2.1321
-0.6364 -0.8586 -2.0593
-0.5909 -0.8586 -1.9906
-0.5455 -0.8586 -1.9261
-0.5000 -0.8586 -1.8658
-0.4545 -0.8586 -1.8095
-0.4091 -0.8586 -1.7574
-0.3636 -0.8586 -1.7094
-0.3182 -0.8586 -1.6656
-0.2727 -0.8586 -1.6259
-0.2273 -0.8586 -1.5903
-0.1818 -0.8586 -1.5588
-0.1364 -0.8586 -1.5315
-0.0909 -0.8586 -1.5083
-0.0455 -0.8586 -1.4893
0.0000 -0.8586 -1.4743
0.0455 -0.8586 -1.4635
0.0909 -0.8586 -1.4569
0.1364 -0.8586 -1.4544
0.1818 -0.8586 -1.4560
0.2273 -0.8586 -1.4617
0.2727 -0.8586 -1.4716
0.3182 -0.8586 -1.4856
0.3636 -0.8586 -1.5037
0.4091 -0.8586 -1.5260
0.4545 -0.8586 -1.5524
0.5000 -0.8586 -1.5829
0.5455 -0.8586 -1.6176
0.5909 -0.8586 -1.6564
0.6364 -0.8586 -1.6993
0.6818 -0.8586 -1.7464
0.7273 -0.8586 -1.7976
0.7727 -0.8586 -1.8529
0.8182 -0.8586 -1.9124
0.8636 -0.8586 -1.9759
0.9091 -0.8586 -2.0437
0.9545 -0.8586 -2.1155
1.0000 -0.8586 -2.1915
1.0455 -0.8586 -2.2716
1.0909 -0.8586 -2.3559
1.1364 -0.8586 -2.4443
1.1818 -0.8586 -2.5368
1.2273 -0.8586 -2.6334
1.2727 -0.8586 -2.7342
1.3182 -0.8586 -2.8391
1.3636 -0.8586 -2.9482
1.4091 -0.8586 -3.0613
1.4545 -0.8586 -3.1787
1.5000 -0.8586 -3.3001
1.5455 -0.8586 -3.4257
1.5909 -0.8586 -3.5554
1.6364 -0.8586 -3.6892
1.6818 -0.8586 -3.8272
1.7273 -0.8586 -3.9693
1.7727 -0.8586 -4.1155
1.8182 -0.8586 -4.2659
1.8636 -0.8586 -4.4204
1.9091 -0.8586 -4.5790
1.9545 -0.8586 -4.7418
2.0000 -0.8586 -4.9087
2.0455 -0.8586 -5.0797
2.0909 -0.8586 -5.2549
2.1364 -0.8586 -5.4342
2.1818 -0.8586 -5.6176
2.2273 -0.8586 -5.8051
2.2727 -0.8586 -5.9968
2.3182 -0.8586 -6.1927
2.3636 -0.8586 -6.3926
2.4091 -0.8586 -6.5967
2.4545 -0.8586 -6.8049
2.5000 -0.8586 -7.0173
2.5455 -0.8586 -7.2338
2.5909 -0.8586 -7.4544
2.6364 -0.8586 -7.6791
2.6818 -0.8586 -7.9080
2.7273 -0.8586 -8.1410
2.7727 -0.8586 -8.3782
2.8182 -0.8586 -8.6194
2.8636 -0.8586 -8.8648
2.9091 -0.8586 -9.1144
2.9545 -0.8586 -9.3680
3.0000 -0.8586 -9.6259
3.0455 -0.8586 -9.8878
3.0909 -0.8586 -10.1539
3.1364 -0.8586 -10.4241
3.1818 -0.8586 -10.6984
3.2273 -0.8586 -10.9769
3.2727 -0.8586 -11.2595
3.3182 -0.8586 -11.5462
3.3636 -0.8586 -11.8371
3.4091 -0.8586 -12.1321
3.4545 -0.8586 -12.4312
3.5000 -0.8586 -12.7344
-1.0000 -0.8232 -2.7090
-0.9545 -0.8232 -2.6040
-0.9091 -0.8232 -2.5033
-0.8636 -0.8232 -2.4066
-0.8182 -0.8232 -2.3141
-0.7727 -0.8232 -2.2257
-0.7273 -0.8232 -2.1415
